sentence,entities
"Can you guide me to 982 WAKEFIELD  STREET, Templestowe?","[(24, 41, 'STREET_NAME'), (43, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 459 CL1645 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
Where is 397 CL1116 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Croydon.,"[(16, 23, 'SUBURB')]"
I’m at 758 HODDLE  BRIDGE.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here at 559 CL1200.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I’m at 85 LANGFORD  STREET.,"[(10, 26, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
Where is 940 QUEENSBERRY  STREET located?,"[(13, 32, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
Where is 99 CONTRACTORS  LANE located?,"[(12, 29, 'STREET_NAME'), (9, 11, 'STREET_NUMBER')]"
I’m at 914 MELROSE  STREET.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I'm on CL1147 in Strathmore Heights.,"[(7, 13, 'STREET_NAME'), (17, 35, 'SUBURB')]"
How do I get to 416 CL1540?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am trying to reach UNION  RD.,"[(21, 30, 'STREET_NAME')]"
I am currently at 531 ENGINEERING  LANE.,"[(22, 39, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to COURTNEY  STREET in Seville.,"[(21, 37, 'STREET_NAME'), (41, 48, 'SUBURB')]"
I'm heading towards 186 ORR  STREET in Narre Warren North.,"[(24, 35, 'STREET_NAME'), (39, 57, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Hadfield.,"[(16, 24, 'SUBURB')]"
I need to get to 11 FRESHWATER  PLACE.,"[(20, 37, 'STREET_NAME'), (17, 19, 'STREET_NUMBER')]"
I am at 222 MIDDLETON  LA in Balwyn North.,"[(12, 25, 'STREET_NAME'), (29, 41, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm heading towards 659 MERCANTILE  PARADE in Black Rock.,"[(24, 42, 'STREET_NAME'), (46, 56, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need directions to CROWN  PLACE in Heidelberg West.,"[(21, 33, 'STREET_NAME'), (37, 52, 'SUBURB')]"
"Currently, I am on INGLES  ST.","[(19, 29, 'STREET_NAME')]"
I’m at 87 PL5040.,"[(10, 16, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I'm on ARDEN  STREET in Eumemmerring.,"[(7, 20, 'STREET_NAME'), (24, 36, 'SUBURB')]"
"Can you guide me to 657 PL5315, Guys Hill?","[(24, 30, 'STREET_NAME'), (32, 41, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 823 CL1643.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here in Parkdale.,"[(13, 21, 'SUBURB')]"
I need to get here: 290 CL1507.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 951 CL0507, Bayswater?","[(24, 30, 'STREET_NAME'), (32, 41, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 601 PH8036.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here in Laburnum.,"[(13, 21, 'SUBURB')]"
I need to go to Westgarth.,"[(16, 25, 'SUBURB')]"
I am at 469 SMORGON  SQUARE in Mooroolbark.,"[(12, 27, 'STREET_NAME'), (31, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am currently at 938 LEE  ST.,"[(22, 29, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"I'm at 625 CHURCH  ST, Crib Point.","[(11, 21, 'STREET_NAME'), (23, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am at 704 DANKS  ST in Travancore.,"[(12, 21, 'STREET_NAME'), (25, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get to 749 LINLITHGOW  AVENUE.,"[(21, 39, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here in Reservoir.,"[(13, 22, 'SUBURB')]"
How do I get to 153 BRIDPORT ST  WEST?,"[(20, 37, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here at 185 WARBURTON  LANE.,"[(17, 32, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I’m at 748 DALLAS BROOKS  DRIVE.,"[(11, 31, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to go to Oakleigh East.,"[(16, 29, 'SUBURB')]"
How do I get to 113 PL5302?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm on CL0049 in Frankston.,"[(7, 13, 'STREET_NAME'), (17, 26, 'SUBURB')]"
I’m at 521 CL165.,"[(11, 16, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on HAMPSON  LANE.","[(19, 32, 'STREET_NAME')]"
Where is 530 CL0405 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 170 GORDON  GR.,"[(24, 34, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on HARCOURT  STREET in Forest Hill.,"[(7, 23, 'STREET_NAME'), (27, 38, 'SUBURB')]"
I need directions to COURT  HOUSE  PLACE in Aurora.,"[(21, 40, 'STREET_NAME'), (44, 50, 'SUBURB')]"
I need directions to PL5154 in Greenvale Lakes.,"[(21, 27, 'STREET_NAME'), (31, 46, 'SUBURB')]"
I need to go to Glen Iris.,"[(16, 25, 'SUBURB')]"
I am at 482 PARK  STREET in Cocoroc.,"[(12, 24, 'STREET_NAME'), (28, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am at 581 SINGLETON  LANE in Box Hill.,"[(12, 27, 'STREET_NAME'), (31, 39, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Can you guide me to 626 ALEXANDERS  LANE, Narre Warren North?","[(24, 40, 'STREET_NAME'), (42, 60, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 525 PL5267 in Junction Village.,"[(24, 30, 'STREET_NAME'), (34, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 881 HARTLEY  STREET in Wyndham Vale.,"[(24, 39, 'STREET_NAME'), (43, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Bittern.,"[(16, 23, 'SUBURB')]"
"Currently, I am on LITTLE BAILLIE  STREET.","[(19, 41, 'STREET_NAME')]"
Where is 156 CUMBERLAND  PLACE located?,"[(13, 30, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Upwey.,"[(16, 21, 'SUBURB')]"
I need to get to 919 CANADA  LANE.,"[(21, 33, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Can you guide me to 623 CL1335, Eaglemont?","[(24, 30, 'STREET_NAME'), (32, 41, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 652 OLIVER  LANE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here in Waverley Park.,"[(13, 26, 'SUBURB')]"
"I'm at 240 CL1381, Clarinda.","[(11, 17, 'STREET_NAME'), (19, 27, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am at 968 CL1286 in Essendon Fields.,"[(12, 18, 'STREET_NAME'), (22, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get here: 235 PL5310.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to CL1292 in Bayswater.,"[(21, 27, 'STREET_NAME'), (31, 40, 'SUBURB')]"
"I'm at 448 JACKA  BLVD, Dallas.","[(11, 22, 'STREET_NAME'), (24, 30, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 839 MACKINNON  PLACE.,"[(21, 37, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"I'm at 333 CHARLES  STREET, Noble Park.","[(11, 26, 'STREET_NAME'), (28, 38, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 112 CURZON  PLACE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to get here: 763 ALTONA  STREET.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on PH8023 in Watsonia.,"[(7, 13, 'STREET_NAME'), (17, 25, 'SUBURB')]"
I need directions to KNOX  LANE in Nunawading.,"[(21, 31, 'STREET_NAME'), (35, 45, 'SUBURB')]"
Where is 1000 CL1224 located?,"[(14, 20, 'STREET_NAME'), (9, 13, 'STREET_NUMBER')]"
I am here at 200 SWINGING  BASIN  LANE.,"[(17, 38, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 640 CL1148 in Bentleigh East.,"[(12, 18, 'STREET_NAME'), (22, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Can you guide me to 709 EASTCOURT  LANE, Reservoir?","[(24, 39, 'STREET_NAME'), (41, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on PLATYPUS  ALLEY.","[(19, 34, 'STREET_NAME')]"
I am currently at 882 FOOTE  ST.,"[(22, 31, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to HUTTON  PLACE in Caulfield South.,"[(21, 34, 'STREET_NAME'), (38, 53, 'SUBURB')]"
"I'm at 981 MAGENTA  PLACE, Cairnlea.","[(11, 25, 'STREET_NAME'), (27, 35, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 324 MORRISON  CLOSE.,"[(24, 39, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 109 SPEAKMEN  STREET.,"[(17, 33, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
How do I get to 364 ERROL  PLACE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to go to Craigieburn.,"[(16, 27, 'SUBURB')]"
"I'm at 738 JIKA  PL, Dromana.","[(11, 19, 'STREET_NAME'), (21, 28, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 634 MUSGROVE  MEWS?,"[(20, 34, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to go to Rosebud.,"[(16, 23, 'SUBURB')]"
I'm on MOFFAT  ST in Mont Albert.,"[(7, 17, 'STREET_NAME'), (21, 32, 'SUBURB')]"
I am here at 541 PL5365.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Cocoroc.,"[(16, 23, 'SUBURB')]"
I need to get to 507 PL5060.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
Where is 532 COLONIAL  PLACE located?,"[(13, 28, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Yuroke.,"[(13, 19, 'SUBURB')]"
I am trying to reach VALE  PLACE.,"[(21, 32, 'STREET_NAME')]"
I am at 75 KATHERINE  PLACE in Yarraville.,"[(11, 27, 'STREET_NAME'), (31, 41, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I am currently at 7 LYGON  TERRACE.,"[(20, 34, 'STREET_NAME'), (18, 19, 'STREET_NUMBER')]"
I am trying to reach CL0533 PRIVATE.,"[(21, 35, 'STREET_NAME')]"
I am here at 143 PL5201.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 589 NICHOLS  LANE.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I’m at 758 BANGALORE  STREET.,"[(11, 28, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 658 DE FEU  STREET, Ringwood East?","[(24, 38, 'STREET_NAME'), (40, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach BOUNDARY  STREET.,"[(21, 37, 'STREET_NAME')]"
I need to get here: 835 LITTLE QUEENSBERRY  STREET.,"[(24, 50, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach ST ANDREWS  STREET.,"[(21, 39, 'STREET_NAME')]"
I'm heading towards 426 PL5224 in Burwood East.,"[(24, 30, 'STREET_NAME'), (34, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on LITTLE  DOCKLANDS  DRIVE.","[(19, 43, 'STREET_NAME')]"
"Can you guide me to 162 CHESTER  LANE, Preston?","[(24, 37, 'STREET_NAME'), (39, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 166 SMITH  STREET in Kingsville.,"[(24, 37, 'STREET_NAME'), (41, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 449 PL5334.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 625 WESTBOURNE  ROAD, Keilor Lodge?","[(24, 40, 'STREET_NAME'), (42, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 410 ESPLANADE  WEST in Keilor.,"[(12, 27, 'STREET_NAME'), (31, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here at 391 LEICESTER  MEWS.,"[(17, 32, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get to 677 PL5318.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need directions to MERCANTILE  PARADE in Patterson Lakes.,"[(21, 39, 'STREET_NAME'), (43, 58, 'SUBURB')]"
"Currently, I am on FRANCIS  ST.","[(19, 30, 'STREET_NAME')]"
Where is 550 WITHERS  ST located?,"[(13, 24, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
Where is 36 WEST BEACH  RD located?,"[(12, 26, 'STREET_NAME'), (9, 11, 'STREET_NUMBER')]"
I need to get here: 516 CL1394.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here in Collingwood.,"[(13, 24, 'SUBURB')]"
I am here at 136 PUBLIC  PARKING.,"[(17, 32, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Hoppers Crossing.,"[(16, 32, 'SUBURB')]"
I am currently at 268 BALMAIN  ST.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
Where is 922 PRINCESS  STREET located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"I'm at 490 PL5161, Port Melbourne.","[(11, 17, 'STREET_NAME'), (19, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 718 PROVIDENCE  LANE.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
How do I get to 690 CL0146?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here in Mount Martha.,"[(13, 25, 'SUBURB')]"
"I'm at 170 MILLSWYN  STREET, Highett.","[(11, 27, 'STREET_NAME'), (29, 36, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 706 EADES  STREET.,"[(22, 35, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 64 CL1054.,"[(10, 16, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I am at 670 WIRRAWAY  DRIVE in Parkville.,"[(12, 27, 'STREET_NAME'), (31, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm on ROBE  ST in Travancore.,"[(7, 15, 'STREET_NAME'), (19, 29, 'SUBURB')]"
I'm heading towards 932 EMILTON  AV in North Richmond.,"[(24, 35, 'STREET_NAME'), (39, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Melbourne Airport.,"[(13, 30, 'SUBURB')]"
I need to get here: 24 WITCHWOOD  CLOSE.,"[(23, 39, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I’m at 179 ANN  ST.,"[(11, 18, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get to 757 NORVAL  PLACE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to go to Oak Park.,"[(16, 24, 'SUBURB')]"
I am here at 438 MERCHANT  STREET.,"[(17, 33, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am here at 605 DRIVER  LANE.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on MILLER  PLACE in Sassafras.,"[(7, 20, 'STREET_NAME'), (24, 33, 'SUBURB')]"
"Can you guide me to 279 CORRS  LANE, Ivanhoe East?","[(24, 35, 'STREET_NAME'), (37, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 67 MOUNTAIN  ST?,"[(19, 31, 'STREET_NAME'), (16, 18, 'STREET_NUMBER')]"
I am here in Rowville.,"[(13, 21, 'SUBURB')]"
Where is 225 CL1102 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to go to Ardeer.,"[(16, 22, 'SUBURB')]"
I need directions to NICHOLLS  LANE in Rosebud.,"[(21, 35, 'STREET_NAME'), (39, 46, 'SUBURB')]"
How do I get to 615 LLOYD  STREET?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get to 200 BENJAMIN  STREET.,"[(21, 37, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Currently, I am on CL1014.","[(19, 25, 'STREET_NAME')]"
Where is 715 PL5129 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Narre Warren North.,"[(13, 31, 'SUBURB')]"
How do I get to 476 SHILLING LANE?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get here: 373 BOUNDARY  ST.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 936 GARDINER  STREET, Noble Park?","[(24, 40, 'STREET_NAME'), (42, 52, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Research.,"[(16, 24, 'SUBURB')]"
I’m at 89 PL5118.,"[(10, 16, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I'm on KIPLING  STREET in Hawthorn.,"[(7, 22, 'STREET_NAME'), (26, 34, 'SUBURB')]"
"Currently, I am on SEAFARERS  BRIDGE.","[(19, 36, 'STREET_NAME')]"
"Can you guide me to 481 PL5353, Oaklands Junction?","[(24, 30, 'STREET_NAME'), (32, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 288 WESTWOOD  PLACE in Warrandyte.,"[(12, 27, 'STREET_NAME'), (31, 41, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 644 SOUTH  KENSINGTON  RAILWAY.,"[(11, 37, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here in Oakleigh.,"[(13, 21, 'SUBURB')]"
I need to get here: 32 CL1199.,"[(23, 29, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I am here at 478 WATSONS  WALK.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need directions to BUCHAN  LANE in Dromana.,"[(21, 33, 'STREET_NAME'), (37, 44, 'SUBURB')]"
I am trying to reach BARKLY  ST.,"[(21, 31, 'STREET_NAME')]"
I am here in Brookfield.,"[(13, 23, 'SUBURB')]"
I need to get here: 733 STANLEY  STREET.,"[(24, 39, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 641 HARBOUR  ESPLANADE in Selby.,"[(24, 42, 'STREET_NAME'), (46, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to St Kilda West.,"[(16, 29, 'SUBURB')]"
Where is 277 ANZAC  AVENUE located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm heading towards 79 CLIVEDEN  CLOSE in Upwey.,"[(23, 38, 'STREET_NAME'), (42, 47, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I need directions to RIVERSIDE  AVENUE in Black Rock.,"[(21, 38, 'STREET_NAME'), (42, 52, 'SUBURB')]"
I am here in Upwey.,"[(13, 18, 'SUBURB')]"
I need directions to LOUGHMORE  LANE in Mentone.,"[(21, 36, 'STREET_NAME'), (40, 47, 'SUBURB')]"
How do I get to 641 ELGIN  PLACE SOUTH?,"[(20, 38, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am trying to reach WATERFRONT  WAY.,"[(21, 36, 'STREET_NAME')]"
Where is 398 CL1065 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm on CURZON  PLACE in Karingal.,"[(7, 20, 'STREET_NAME'), (24, 32, 'SUBURB')]"
"Can you guide me to 314 WELLINGTON  PARADE, Cranbourne?","[(24, 42, 'STREET_NAME'), (44, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Mount Dandenong.,"[(13, 28, 'SUBURB')]"
I need directions to CL1730 in Lynbrook.,"[(21, 27, 'STREET_NAME'), (31, 39, 'SUBURB')]"
I need to get to 591 GORMAN  ALLEY.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to get here: 217 PL5168.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 564 CL159.,"[(17, 22, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
Where is 72 MOUBRAY  ST located?,"[(12, 23, 'STREET_NAME'), (9, 11, 'STREET_NUMBER')]"
I am currently at 849 CL1767.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 847 CL483.,"[(24, 29, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need directions to CATALINA  PLACE in Carrum Downs.,"[(21, 36, 'STREET_NAME'), (40, 52, 'SUBURB')]"
I am at 40 CL1102 in Greenvale Lakes.,"[(11, 17, 'STREET_NAME'), (21, 36, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
I’m at 531 ASTOR  PLACE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here in Box Hill North.,"[(13, 27, 'SUBURB')]"
I need to go to Carlton North.,"[(16, 29, 'SUBURB')]"
How do I get to 614 WILLIAM  BARAK  BRIDGE?,"[(20, 42, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need directions to WIRRAWAY  DRIVE in Coolaroo.,"[(21, 36, 'STREET_NAME'), (40, 48, 'SUBURB')]"
I'm on CL1080 in Eumemmerring.,"[(7, 13, 'STREET_NAME'), (17, 29, 'SUBURB')]"
I’m at 784 GUILDFORD  LANE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 705 AUSTRAL  PLACE in Bennettswood.,"[(24, 38, 'STREET_NAME'), (42, 54, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 780 PL5189.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
How do I get to 462 PH8035?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am here in Baxter.,"[(13, 19, 'SUBURB')]"
I am here at 319 PL5006.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
How do I get to 164 HODGSON  LANE?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need directions to CL1603 in Heidelberg.,"[(21, 27, 'STREET_NAME'), (31, 41, 'SUBURB')]"
"Currently, I am on PL5327.","[(19, 25, 'STREET_NAME')]"
I need directions to MIDTOWN  PLAZA in Hurstbridge.,"[(21, 35, 'STREET_NAME'), (39, 50, 'SUBURB')]"
I am here at 857 CL1469.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get to 562 MOUBRAY  LANE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here in Sunshine West.,"[(13, 26, 'SUBURB')]"
"Currently, I am on WOODRUFF  STREET.","[(19, 35, 'STREET_NAME')]"
Where is 475 CURZON  STREET located?,"[(13, 27, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Currently, I am on MUNRO  ST.","[(19, 28, 'STREET_NAME')]"
How do I get to 578 PAGE  ST?,"[(20, 28, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 363 DYNON  RD.,"[(11, 20, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need directions to FOXTON  LANE in Ormond.,"[(21, 33, 'STREET_NAME'), (37, 43, 'SUBURB')]"
"Can you guide me to 343 PL5148, Box Hill?","[(24, 30, 'STREET_NAME'), (32, 40, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on YORK  PLACE.","[(19, 30, 'STREET_NAME')]"
I'm on LITTLE HARDIMAN  STREET in Elwood.,"[(7, 30, 'STREET_NAME'), (34, 40, 'SUBURB')]"
Where is 837 LITTLE PARK  STREET located?,"[(13, 32, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I’m at 380 DALGETY  PLACE.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on PL5227.","[(19, 25, 'STREET_NAME')]"
I am here at 403 FISKEN  WALK.,"[(17, 29, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 84 BRAHE  PLACE in Nunawading.,"[(11, 23, 'STREET_NAME'), (27, 37, 'SUBURB'), (8, 10, 'STREET_NUMBER')]"
How do I get to 717 TEMPERANCE HALL  LANE?,"[(20, 41, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
Where is 147 CL1170 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Can you guide me to 152 JOHNSTON   ST, St Kilda?","[(24, 37, 'STREET_NAME'), (39, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 874 CHARLES  ST.,"[(17, 28, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get to 579 JOLIMONT  ROAD.,"[(21, 35, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I am here at 616 MARMION  PLACE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 149 BRIEN  LANE in Gardenvale.,"[(12, 23, 'STREET_NAME'), (27, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get to 253 PL5127.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm on OLYMPIC  BOULEVARD in Bentleigh East.,"[(7, 25, 'STREET_NAME'), (29, 43, 'SUBURB')]"
"I'm at 190 FORMER  DAHLENBURG  STREET (NO ACCESS), Braybrook.","[(11, 49, 'STREET_NAME'), (51, 60, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 377 HAYMARKET  WALK.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
Where is 449 VICTORIA  HARBOUR  PROMENADE located?,"[(13, 41, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Currently, I am on PL5255.","[(19, 25, 'STREET_NAME')]"
I need to go to Kooyong.,"[(16, 23, 'SUBURB')]"
I am trying to reach CL1150.,"[(21, 27, 'STREET_NAME')]"
"Can you guide me to 489 PL5015, Mount Martha?","[(24, 30, 'STREET_NAME'), (32, 44, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
